🚀 Onboard Panel listening on http://0.0.0.0:3000
🔒 Password: 123456
🛡️  Cookie path: /onboard/
2026-06-04T15:44:13.162Z GET /health
2026-06-04T15:44:13.559Z GET /health
2026-06-04T15:44:18.561Z GET /health
2026-06-04T15:44:23.560Z GET /health
2026-06-04T15:44:28.560Z GET /health
2026-06-04T15:44:33.562Z GET /health
2026-06-04T15:44:38.565Z GET /health
2026-06-04T15:44:43.567Z GET /health
2026-06-04T15:44:45.093Z GET /onboard/
2026-06-04T15:44:45.155Z GET /onboard/api/status
2026-06-04T15:44:45.163Z GET /onboard/api/supervisor
2026-06-04T15:44:45.165Z GET /onboard/api/gateway/detail
2026-06-04T15:44:45.172Z GET /onboard/api/reports
2026-06-04T15:44:47.058Z GET /onboard/novels
2026-06-04T15:44:47.108Z GET /onboard/modules/novels/data/covers/pet.gif
2026-06-04T15:44:47.109Z GET /onboard/api/novels
2026-06-04T15:44:47.251Z GET /onboard/api/novels/users/user_mpvd290r/readings
2026-06-04T15:44:47.264Z GET /onboard/modules/novels/data/covers/novel_19e894e0_cover.jpg
2026-06-04T15:44:47.265Z GET /onboard/modules/novels/data/covers/wandao_cover.jpg
2026-06-04T15:44:47.266Z GET /onboard/modules/novels/data/covers/novel_mpxo7cy2_cover.jpg
2026-06-04T15:44:48.570Z GET /health
2026-06-04T15:44:48.605Z POST /onboard/api/novels/pet-chat
2026-06-04T15:44:53.569Z GET /health
2026-06-04T15:44:58.568Z GET /health
2026-06-04T15:45:03.570Z GET /health
2026-06-04T15:45:08.571Z GET /health
2026-06-04T15:45:13.577Z GET /health
2026-06-04T15:45:13.989Z GET /onboard/api/services
2026-06-04T15:45:15.132Z GET /onboard/api/status
2026-06-04T15:45:15.134Z GET /onboard/api/supervisor
2026-06-04T15:45:15.136Z GET /onboard/api/reports
2026-06-04T15:45:18.578Z GET /health
2026-06-04T15:45:23.579Z GET /health
2026-06-04T15:45:28.580Z GET /health
2026-06-04T15:45:33.580Z GET /health
2026-06-04T15:45:38.582Z GET /health
2026-06-04T15:45:43.584Z GET /health
2026-06-04T15:45:45.577Z GET /onboard/api/status
2026-06-04T15:45:45.581Z GET /onboard/api/supervisor
2026-06-04T15:45:45.582Z GET /onboard/api/gateway/detail
2026-06-04T15:45:45.588Z GET /onboard/api/reports
2026-06-04T15:45:48.597Z GET /health
2026-06-04T15:45:53.588Z GET /health
2026-06-04T15:45:58.588Z GET /health
2026-06-04T15:46:03.589Z GET /health
2026-06-04T15:46:08.591Z GET /health
2026-06-04T15:46:13.592Z GET /health
2026-06-04T15:46:15.580Z GET /onboard/api/status
2026-06-04T15:46:15.585Z GET /onboard/api/supervisor
2026-06-04T15:46:15.591Z GET /onboard/api/reports
2026-06-04T15:46:18.593Z GET /health
2026-06-04T15:46:23.594Z GET /health
2026-06-04T15:46:28.594Z GET /health
2026-06-04T15:46:33.596Z GET /health
2026-06-04T15:46:38.596Z GET /health
2026-06-04T15:46:43.599Z GET /health
2026-06-04T15:46:45.578Z GET /onboard/api/status
2026-06-04T15:46:45.581Z GET /onboard/api/supervisor
2026-06-04T15:46:45.584Z GET /onboard/api/gateway/detail
2026-06-04T15:46:45.589Z GET /onboard/api/reports
2026-06-04T15:46:48.600Z GET /health
2026-06-04T15:46:53.603Z GET /health
2026-06-04T15:47:15.575Z GET /onboard/api/status
2026-06-04T15:47:15.578Z GET /onboard/api/supervisor
2026-06-04T15:47:15.579Z GET /onboard/api/reports
2026-06-04T15:47:19.557Z GET /health
2026-06-04T15:47:27.585Z GET /
2026-06-04T15:47:45.577Z GET /onboard/api/status
2026-06-04T15:47:45.580Z GET /onboard/api/supervisor
2026-06-04T15:47:45.580Z GET /onboard/api/gateway/detail
2026-06-04T15:47:45.586Z GET /onboard/api/reports
2026-06-04T15:47:47.580Z POST /onboard/api/novels/pet-chat
2026-06-04T15:48:15.580Z GET /onboard/api/status
2026-06-04T15:48:15.582Z GET /onboard/api/supervisor
2026-06-04T15:48:15.583Z GET /onboard/api/reports
2026-06-04T15:48:45.584Z GET /onboard/api/gateway/detail
2026-06-04T15:49:16.584Z GET /onboard/api/status
2026-06-04T15:49:16.586Z GET /onboard/api/supervisor
2026-06-04T15:49:16.587Z GET /onboard/api/reports
2026-06-04T15:49:45.579Z GET /onboard/api/gateway/detail
2026-06-04T15:50:11.108Z GET /health
2026-06-04T15:50:17.586Z GET /onboard/api/status
2026-06-04T15:50:17.588Z GET /onboard/api/supervisor
2026-06-04T15:50:17.589Z GET /onboard/api/reports
2026-06-04T15:50:45.585Z GET /onboard/api/gateway/detail
2026-06-04T15:50:47.575Z POST /onboard/api/novels/pet-chat
2026-06-04T15:51:18.587Z GET /onboard/api/status
2026-06-04T15:51:18.588Z GET /onboard/api/supervisor
2026-06-04T15:51:18.588Z GET /onboard/api/reports
2026-06-04T15:51:24.082Z GET /health
2026-06-04T15:51:43.343Z GET /health
2026-06-04T15:52:04.104Z GET /health
2026-06-04T15:52:19.596Z GET /onboard/api/supervisor
2026-06-04T15:52:19.597Z GET /onboard/api/gateway/detail
2026-06-04T15:52:19.599Z GET /onboard/api/status
2026-06-04T15:52:19.600Z GET /onboard/api/reports
